Name,Fighter ID,Record,Height (feet/inches),Weight (pounds),Reach (inches),Stance,Year born,Significant strikes landed per minute,Significant striking accuracy (%),Significant strikes absorbed per minute,Significant strike defense (% of opponent's strikes that did not land),Average takedowns landed per 15 minutes,Takedown accuracy (%),Takedown defense (%),Average submissions attempted per 15 minutes
Luciano Azevedo,9bcfb40dbcd50568,Record: 16-9-1,6.3,161,,Orthodox,1981,0.76,45,1.97,27,2.28,11,0,0.0
Michael Byrnes,87f0b37f153cf497,Record: 5-2-0,5.11,155,,,1990,0.0,0,0.0,0,0.0,0,0,0.0
Steve Byrnes,43612456979e5d5e,Record: 6-1-0,6.0,170,,Orthodox,,1.2,51,2.67,27,3.0,60,0,4.0
Rolando Dy,55ed59d541f8b90c,Record: 9-6-1 (1 NC),5.8,145,69,Orthodox,1990,2.35,37,2.95,52,0.38,20,64,0.0
Mike Guymon,eaea0fc7b76525a8,Record: 12-5-1,6.0,170,74,Orthodox,1974,2.75,65,0.79,66,1.87,37,54,1.2
Jessica Eye,f72465a784c1b084,Record: 12-6-0 (1 NC),5.6,125,66,Orthodox,1986,3.27,37,3.31,58,0.54,80,60,0.9
Hiroshi Izumi,53e4e21f4c688801,Record: 4-2-0,,205,,Orthodox,1982,1.95,37,2.65,66,3.35,70,100,0.5
Cris Cyborg,634bb0de2eb043b4,Record: 20-1-0 (1 NC),5.8,145,68,Orthodox,1985,7.02,52,1.79,70,0.85,62,91,0.3
Adam Lynn,edfe95e3c33a4bf8,Record: 17-8-0 (1 NC),5.1,155,,Orthodox,,1.47,63,6.95,10,0.0,0,50,0.0
Alptekin Ozkilic,e18a19001a3f7c7d,Record: 9-4-0,5.5,125,65,Orthodox,1986,3.81,32,5.72,59,4.21,58,75,0.0
Solomon Hutcherson,155bfc7ed36622df,Record: 11-7-0 (1 NC),5.11,185,,Southpaw,1972,2.59,39,2.59,64,3.53,100,0,0.0
Katsuaki Furuki,c3e2eca94b2320bc,Record: 1-1-0,6.0,168,,,1980,0.27,10,2.67,39,0.0,0,0,3.0
Chris Lytle,91acd6910b802a9e,Record: 31-18-5,5.11,170,68,Orthodox,1974,3.76,45,3.03,58,0.7,55,55,2.4
Mike Kyle,56b8b24f65f9f057,Record: 19-9-1 (2 NC),6.4,205,77,Orthodox,1980,4.5,51,2.76,54,1.55,62,50,0.9
Ho Bae Myeon,2719f300b0439039,Record: 12-5-1,5.11,168,,Orthodox,,3.16,16,3.16,83,0.0,0,0,0.0
Mike Pyle,f5990c11974d8e9c,Record: 27-14-1,6.0,170,74,Orthodox,1975,2.74,45,2.84,60,1.8,35,70,1.5
Michel Quinones,5e84a859c6a82288,Record: 8-3-0,5.1,155,73,Orthodox,1984,2.91,29,5.98,48,0.0,0,36,0.0
Jimmy Quinlan,ddbe4fa2ea573393,Record: 3-1-1,6.0,185,72,Orthodox,1986,2.08,70,5.94,16,4.46,25,0,0.0
Jose Quinonez,36549928f90f1d36,Record: 8-2-0,5.8,135,69,,1990,3.26,44,2.32,68,2.88,50,57,1.0
Bao Quach,d365ee924f5cc3fc,Record: 18-10-1,5.3,145,,Orthodox,1979,0.0,0,0.0,0,0.0,0,0,0.0
Ryan Quinn,cc23ed51619421a3,Record: 13-7-1,5.8,145,,,,2.31,41,1.67,48,0.0,0,0,1.9
Vinicius Queiroz,2a8502954f49e682,Record: 5-2-0,6.7,220,,,1983,3.67,51,4.1,41,5.07,70,100,0.7
Josh Pulsifer,16867810070dc520,Record: 16-7-0,5.1,145,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
Nate Quarry,52cae54377b433b7,Record: 12-4-0,6.0,185,72,Open Stance,1972,4.96,44,2.8,66,0.25,33,60,0.0
Gary Quan,f7b4cbe93f3bac06,Record: 3-5-0,5.8,143,,,1971,0.0,0,0.0,0,0.0,0,0,0.0
Bubba Pugh,6cf2352cdb3de59d,Record: 3-3-0,5.1,185,,,,2.87,67,2.6,23,4.0,57,80,0.0
Lucie Pudilova,3cf66c62d9069f43,Record: 8-2-0,5.8,135,67,Orthodox,1994,5.04,44,4.07,57,0.0,0,76,0.7
Jens Pulver,44260175069b6276,Record: 25-15-1,5.7,145,70,Southpaw,1974,2.12,37,3.13,56,0.22,33,63,0.3
Hugh Pulley,308279bd246c211f,Record: 6-3-0,6.0,155,,,,4.47,63,3.27,57,4.0,66,69,0.0
Cole Province,2a470ad41c22c25a,Record: 6-2-0 (1 NC),5.9,145,68,Orthodox,1981,1.47,44,2.72,43,2.4,50,83,1.0
Juan Puig,85d0fafb8b75d634,Record: 11-4-0,5.9,145,72,Orthodox,1989,4.91,23,7.17,51,0.0,0,0,0.0
Brent Primus,46caf130099206cd,Record: 8-0-0,5.1,155,,,1985,1.73,39,2.27,59,5.0,38,0,2.0
Joe Proctor,a36556bb1565e32d,Record: 11-5-0,5.1,155,72,Orthodox,1985,3.39,36,3.93,59,0.0,0,70,1.8
Shane Primm,5114f1b5ad4cdf72,Record: 6-5-0,6.3,205,,Orthodox,1984,0.83,26,2.25,62,1.78,20,0,0.0
Niko Price,d8da10db80131bec,Record: 11-1-0 (1 NC),6.0,170,76,Orthodox,1989,2.53,29,4.03,57,1.3,27,83,2.2
Philip Preece,6597b611f1c32555,Record: 10-14-0,5.8,205,,Orthodox,,0.8,72,0.7,63,0.0,0,0,0.0
Chris Price,0597a4528ebd1307,Record: 18-3-0,6.2,185,,Southpaw,1982,1.44,66,2.59,48,0.0,0,33,2.2
Carlo Prater,4f853e98886283cf,Record: 30-12-1,5.11,155,72,Switch,1981,2.03,47,4.07,35,0.43,9,57,1.7
Trevor Prangley,f5ff7bcdcfeba3ad,Record: 23-8-1,6.1,185,75,Orthodox,1972,2.59,60,2.02,48,3.38,55,74,1.0
Marcin Prachnio,6370c1c1e12723d5,Record: 13-3-0,6.3,205,74,Orthodox,1988,3.42,62,2.28,47,0.0,0,0,0.0
Wagner Prado,7f6ef4e1227600bc,Record: 8-2-0 (1 NC),6.0,205,74,Southpaw,1986,1.72,40,3.06,50,0.0,0,22,0.0
Ruan Potts,7e208569469c8bc8,Record: 8-4-0,6.2,247,75,Orthodox,1978,0.85,37,5.92,22,0.75,16,33,2.3
Devin Powell,065eb44700e641a4,Record: 8-3-0,6.0,155,73,Orthodox,1988,2.17,40,3.5,43,0.0,0,0,1.0
Parker Porter,ac40f7e3cbecdda4,Record: 6-4-0,,260,,,,8.54,47,6.37,64,1.91,100,0,1.9
Felipe Portela,303e017a9074f3aa,Record: 7-1-0,,170,,,1987,0.0,0,0.0,0,0.0,0,0,0.0
Santiago Ponzinibbio,6d1bffff14897645,Record: 27-3-0,6.0,170,73,Orthodox,1986,4.23,38,4.01,62,0.64,44,57,0.0
Brandon Polcare,543cd2258f4fa339,Record: 1-1-0,,125,,,,0.43,50,0.0,0,0.0,0,0,0.0
Mike Polchlopek,3bb030257966b022,Record: 1-1-0,6.4,285,,Orthodox,1965,2.0,38,1.33,57,0.0,0,0,0.0
John Polakowski,b18fb36a4aa00093,Record: 2-2-0,5.1,155,,Orthodox,1981,0.14,4,2.05,44,0.0,0,75,2.0
Igor Pokrajac,53278852bcd91e11,Record: 28-13-0 (1 NC),6.0,205,76,Orthodox,1979,2.25,45,4.26,40,0.87,29,51,0.2
Ross Pointon,7215953cd5c6254d,Record: 6-13-0,5.8,170,,Orthodox,1980,2.62,23,2.77,58,1.19,100,0,0.0
Dmitry Poberezhets,9756095cb76b67c3,Record: 24-5-1 (1 NC),6.3,237,,,1985,0.0,0,0.0,0,0.0,0,0,0.0
Dustin Poirier,029eaff01e6bb8f0,Record: 22-5-0 (1 NC),5.9,155,72,Southpaw,1989,5.08,50,3.42,57,1.99,45,67,1.3
Liu Pingyuan,31bbd39c0a075d4e,Record: 11-5-0,5.8,135,70,Orthodox,1993,0.0,0,0.0,0,0.0,0,0,0.0
Daniel Pineda,361d49960a196976,Record: 18-11-0,5.7,145,69,Orthodox,1985,2.99,43,2.51,47,1.46,25,48,2.0
Joao Pierini,9a967e8e43dcef63,Record: 4-1-0,6.1,155,,Switch,1971,0.76,14,4.56,33,0.0,0,0,0.0
Sean Pierson,0d506315895efffc,Record: 14-6-0,6.0,170,76,Southpaw,1976,3.84,39,3.73,64,0.39,18,66,0.4
Nick Piedmont,df7d386a54e07446,Record: 12-7-1,5.1,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Oskar Piechota,1cf7ccf64a5bf24e,Record: 11-0-1,6.0,185,76,Southpaw,1990,4.32,63,1.48,67,0.89,33,0,2.7
Mike Pierce,236a37d96d476164,Record: 17-7-0,5.8,170,70,Orthodox,1980,2.62,42,2.36,62,3.08,42,71,0.2
Brad Pickett,c945adc22c2bfe8f,Record: 26-14-0,5.6,135,68,Orthodox,1978,3.02,31,4.63,55,2.47,44,58,0.4
Adam Piccolotti,fa399f7f6e17f7f5,Record: 9-0-0,5.11,155,,,1988,4.61,50,2.83,71,2.96,60,100,3.0
Jamie Pickett,830f60497fab345a,Record: 7-2-0,6.2,185,80,Southpaw,1988,1.02,41,2.64,45,6.1,40,0,0.0
John Phillips,e9ac7bfb65c25497,Record: 21-6-0 (1 NC),5.11,185,75,Southpaw,1985,0.0,0,0.0,0,0.0,0,0,0.0
Vinc Pichel,c77a953488e5607d,Record: 11-1-0,5.1,155,72,Orthodox,1982,3.54,42,2.89,54,5.01,62,16,0.3
Aaron Phillips,34c2b3656f88f7ef,Record: 8-2-0,5.9,135,70,Southpaw,1989,1.87,59,3.33,40,0.0,0,35,0.5
Nick Pica,7922e8269adcc25a,Record: 5-1-0,5.1,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Kyler Phillips,60425d07ef4b91a7,Record: 4-0-0,5.8,135,,Orthodox,1995,18.26,56,2.61,50,0.0,0,100,0.0
Cody Pfister,5904b0b38dc6718d,Record: 12-6-1,5.1,155,73,Orthodox,1990,1.41,25,2.8,51,2.82,30,0,0.0
Forrest Petz,e86bc32f5997a8f7,Record: 24-9-0,5.9,170,71,Orthodox,1975,2.27,29,2.2,57,1.3,100,66,0.0
Elizabeth Phillips,dcbf01d605681ad1,Record: 5-4-0,5.6,135,65,Orthodox,1986,2.6,33,3.07,58,0.75,25,53,0.2
Dave Phillips,99020eeb8cd5689d,Record: 7-5-0,6.0,185,,Orthodox,1980,0.0,0,2.0,25,0.0,0,0,10.0
Anthony Pettis,cbb682f5fcc44bfc,Record: 20-7-0,5.1,155,72,Orthodox,1987,2.81,45,2.82,56,0.82,54,58,1.2
Wayne Phillips,09a82bd51ff61376,Record: 5-4-0,,185,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
Peter Petties,7ea5d60d2e6a8ad0,Record: 5-3-0 (1 NC),5.11,145,72,Southpaw,1990,2.61,29,8.24,48,0.0,0,0,0.0
Dino Pezao,81b57acd6975ac06,Record: 1-2-0,,205,,Orthodox,,0.66,30,3.28,31,0.0,0,0,0.0
Seth Petruzelli,93b9496275bbbf80,Record: 14-6-0,6.0,205,76,Orthodox,1979,2.17,41,2.08,55,0.46,50,47,2.3
